Date,Ship_Type,Engine_Type,Speed_Over_Ground_knots,Distance_Traveled_nm,Cargo_Weight_tons,Average_Load_Percentage,Engine_Power_kW,Draft_meters,Weather_Condition,Seasonal_Impact_Score,Route_Type,Maintenance_Status,Weekly_Voyage_Count,Efficiency_nm_per_kWh,Operational_Cost_USD,Revenue_per_Voyage_USD,Turnaround_Time_hours
2023-01-14,Tanker,Steam Turbine,15.7644,2056.6877,6680.4898,85.8329,1135.2541,5.9723,Moderate,0.2106,Coastal,Fair,3,0.6427,6241.23,34933.96,148.1048
2023-01-15,Bulk Carrier,Diesel,12.6698,374.7213,5972.9862,75.8499,1013.2469,10.6154,Moderate,0.691,Short-haul,Good,2,0.9209,3333.58,28914.0,37.389
2023-01-16,Bulk Carrier,Heavy Fuel Oil (HFO),12.9515,1275.7554,4190.9516,58.0206,1155.0049,9.5992,Calm,0.1771,Long-haul,Fair,4,0.8895,4425.53,24098.38,110.3353
2023-01-17,Container Ship,Heavy Fuel Oil (HFO),8.5421,1088.449,7802.3011,92.9228,1324.1859,8.6202,Calm,0.3985,Coastal,Good,3,0.9361,4777.94,36336.56,146.7543
2023-01-18,Fish Carrier,Diesel,21.4755,657.4794,1839.8562,78.3415,2131.9846,6.6964,Calm,0.5766,Short-haul,Good,3,0.35,3564.75,14797.03,37.0342
2023-01-19,Container Ship,Heavy Fuel Oil (HFO),17.2874,361.7132,4461.2916,83.3465,2252.3549,5.3429,Calm,0.6649,Short-haul,Fair,4,0.6196,3579.74,23674.57,28.3511
2023-01-20,Fish Carrier,Diesel,14.1902,548.7729,1246.7884,49.6638,2143.2656,8.4306,Calm,0.3352,Short-haul,Good,7,0.8876,3447.17,12094.85,51.3787
2023-01-21,Container Ship,Diesel,18.7589,1056.374,3925.0575,66.9809,1113.1998,8.8134,Calm,0.8927,Transoceanic,Fair,7,0.5231,4103.43,22833.36,66.9726
2023-01-22,Bulk Carrier,Steam Turbine,19.2198,1501.9132,6236.5958,78.6959,2713.9671,7.5334,Calm,0.8306,Coastal,Good,5,0.35,6635.11,31535.07,91.9752
2023-01-23,Container Ship,Steam Turbine,11.8444,262.715,1899.6057,52.6106,1347.5321,8.8576,Calm,0.7064,Transoceanic,Fair,1,0.8163,2772.52,13611.17,27.7301
2023-01-24,Bulk Carrier,Steam Turbine,12.1806,918.972,6521.5467,88.9927,3213.8718,7.4176,Calm,0.2729,Coastal,Needs Maintenance,4,0.7179,5805.33,31818.71,83.6727
2023-01-25,Container Ship,Heavy Fuel Oil (HFO),16.2865,1492.2995,2830.0488,59.3086,1616.5875,7.1829,Rough,0.3375,Coastal,Needs Maintenance,4,0.5276,5412.47,18676.94,110.9443
2023-01-26,Bulk Carrier,Heavy Fuel Oil (HFO),17.1246,1683.8897,3993.1012,51.9422,2574.4848,7.9478,Calm,0.218,Coastal,Fair,6,0.5805,6038.51,22847.83,112.5012
2023-01-27,Bulk Carrier,Diesel,21.0044,1309.1731,5762.9234,77.5654,3025.6006,5.6999,Rough,0.6972,Coastal,Good,3,0.35,6164.25,29797.95,74.857
2023-01-28,Tanker,Steam Turbine,13.8808,1129.4236,2664.4792,53.4145,1193.1835,7.6522,Calm,0.6505,Short-haul,Good,5,0.8,3959.62,17761.36,103.815
2023-01-29,Fish Carrier,Heavy Fuel Oil (HFO),14.3112,1676.0002,884.8835,62.8758,2065.1398,6.4838,Rough,0.2584,Coastal,Good,3,0.6782,5201.43,12934.77,131.4981
2023-01-30,Tanker,Heavy Fuel Oil (HFO),17.0426,1130.7248,4017.5942,61.8413,2328.3556,7.3128,Moderate,0.5309,Long-haul,Fair,4,0.4737,5083.22,23026.01,88.1911
2023-01-31,Fish Carrier,Heavy Fuel Oil (HFO),18.4003,2096.8429,1837.0793,77.4273,2828.5821,8.1775,Calm,0.9805,Long-haul,Good,7,0.4115,7012.83,17179.32,125.8292
2023-02-01,Bulk Carrier,Steam Turbine,18.5391,315.4341,1840.4451,98.1024,1406.9395,10.0321,Calm,0.1141,Long-haul,Fair,1,0.4342,2779.06,14870.56,21.6733
2023-02-02,Container Ship,Steam Turbine,9.6583,1705.3312,5199.5172,69.7783,1939.6188,10.0212,Rough,0.99,Coastal,Needs Maintenance,3,0.6099,6064.22,28243.76,221.8942
2023-02-03,Fish Carrier,Steam Turbine,9.0509,105.619,1089.6533,83.8826,2668.3652,7.1782,Calm,0.6874,Long-haul,Good,3,0.6548,2868.85,10846.99,19.842
2023-02-04,Tanker,Diesel,19.5728,249.9607,3469.7003,60.8736,1048.1902,8.8207,Moderate,0.6997,Long-haul,Needs Maintenance,3,0.35,2789.78,18983.58,15.854
2023-02-05,Fish Carrier,Diesel,17.4119,665.9732,1649.3821,95.384,1208.1696,8.0973,Calm,0.6348,Coastal,Needs Maintenance,4,0.6107,3103.72,14953.8,52.3934
2023-02-06,Bulk Carrier,Diesel,21.2327,1808.4887,5125.1535,98.3602,1831.6902,7.6022,Calm,0.9881,Transoceanic,Good,6,0.35,6036.53,28883.02,95.4674
2023-02-07,Tanker,Diesel,14.1336,1566.3251,1909.6517,53.7108,2242.3492,7.8658,Calm,0.0932,Long-haul,Needs Maintenance,7,0.7665,5706.37,16264.4,141.3671
2023-02-08,Tanker,Steam Turbine,14.755,1091.6615,5073.2382,86.0461,1082.2234,4.4887,Calm,0.7727,Short-haul,Good,7,0.749,4592.21,27181.18,92.1216
2023-02-09,Tanker,Diesel,15.7268,1241.2031,4994.9703,76.4489,1353.9748,9.4288,Calm,0.0436,Transoceanic,Good,6,0.8495,4504.69,27500.41,97.815
2023-02-10,Container Ship,Heavy Fuel Oil (HFO),16.2625,1926.3707,4116.623,84.7344,1847.9401,8.5835,Rough,0.1544,Long-haul,Good,4,0.645,6072.84,25575.75,143.5278
2023-02-11,Tanker,Heavy Fuel Oil (HFO),8.5026,243.6836,4720.2294,68.8684,975.6408,8.4362,Moderate,0.8726,Transoceanic,Fair,4,0.6461,3093.71,23917.88,34.8433
2023-02-12,Bulk Carrier,Heavy Fuel Oil (HFO),15.4363,1288.4489,5309.4045,79.0841,1374.3234,10.3898,Calm,0.1431,Transoceanic,Good,4,0.7872,4854.2,27928.85,106.1675
2023-02-13,Container Ship,Diesel,12.1882,2120.2611,4578.8236,91.9335,998.6291,6.6696,Calm,0.359,Short-haul,Needs Maintenance,3,1.0062,6077.1,27499.3,220.968
2023-02-14,Fish Carrier,Diesel,18.4324,1848.9617,657.3234,57.0452,1232.3696,5.7544,Moderate,0.7556,Coastal,Needs Maintenance,7,0.35,4685.47,11969.0,125.3503
2023-02-15,Tanker,Diesel,12.1315,1669.7098,6169.2349,74.1969,3257.7635,9.8133,Moderate,0.257,Long-haul,Good,7,0.8296,7170.9,32276.92,178.3101
2023-02-16,Bulk Carrier,Heavy Fuel Oil (HFO),11.1586,1520.2798,2988.665,49.9667,1804.8088,5.8512,Rough,0.1236,Long-haul,Fair,3,0.6568,5072.32,19579.34,165.9179
2023-02-17,Container Ship,Heavy Fuel Oil (HFO),11.0991,232.7558,4388.6084,52.6877,3349.5323,6.1306,Calm,0.4926,Short-haul,Needs Maintenance,1,0.7988,4164.49,22309.19,28.2292
2023-02-18,Tanker,Steam Turbine,17.1689,1850.7555,3694.2356,56.9498,1945.1484,5.6528,Moderate,0.3627,Long-haul,Fair,6,0.3847,6305.04,22626.87,129.4522
2023-02-19,Tanker,Diesel,12.6691,2176.5239,4327.8758,77.2511,2976.5483,5.631,Moderate,0.7744,Coastal,Good,7,0.9003,7687.84,26138.8,213.3461
2023-02-20,Container Ship,Steam Turbine,20.1303,376.7868,4430.5426,59.5952,1054.9239,6.9467,Calm,0.1136,Long-haul,Good,1,0.35,3203.53,22047.67,24.2289
2023-02-21,Bulk Carrier,Steam Turbine,21.4964,227.7334,4532.8035,95.0335,905.774,4.5655,Moderate,0.6083,Short-haul,Good,1,0.35,2660.36,23858.97,17.137
2023-02-22,Tanker,Steam Turbine,14.0228,1765.5018,5170.6027,92.6021,1904.1958,10.2166,Moderate,0.4138,Transoceanic,Good,7,0.7043,6198.81,28868.37,139.1523
2023-02-23,Container Ship,Steam Turbine,9.1951,1006.9407,4253.6302,97.6144,2272.7135,8.6901,Rough,0.4108,Coastal,Good,7,0.6804,5130.61,24263.33,136.0576
2023-02-24,Fish Carrier,Steam Turbine,10.9783,1479.1462,2285.6494,86.9433,2307.48,9.6505,Calm,0.8452,Coastal,Good,7,0.8319,5275.28,18714.41,160.9458
2023-02-25,Fish Carrier,Diesel,12.9143,480.9517,755.1131,98.4496,956.9215,7.7134,Calm,0.3762,Short-haul,Needs Maintenance,4,0.8873,2558.48,10943.01,45.8632
2023-02-26,Bulk Carrier,Diesel,11.8094,1490.0713,2466.1694,51.26,1903.7582,5.9827,Calm,0.6785,Coastal,Fair,4,0.885,5180.89,17798.81,145.9566
2023-02-27,Container Ship,Diesel,8.1082,1668.7297,4009.0117,90.8345,2957.3605,4.5045,Moderate,0.8618,Short-haul,Good,1,0.7999,6739.39,24836.64,238.8115
2023-02-28,Tanker,Steam Turbine,13.6705,2129.0194,4207.243,64.9019,1922.793,4.741,Calm,0.4357,Transoceanic,Good,4,0.7315,6586.93,25238.4,177.2271
2023-03-01,Bulk Carrier,Steam Turbine,21.4151,1455.4302,1450.3844,53.4078,2825.6267,4.5275,Moderate,0.9513,Short-haul,Good,6,0.35,5679.8,13738.53,84.6038
2023-03-02,Fish Carrier,Steam Turbine,14.1909,735.9229,1269.6952,69.8553,859.2921,9.8219,Calm,0.0767,Transoceanic,Good,7,0.7947,3017.06,12061.35,64.9202
2023-03-03,Bulk Carrier,Heavy Fuel Oil (HFO),14.6588,416.8083,1840.513,84.2874,2112.7372,5.2079,Rough,0.2477,Long-haul,Good,4,0.6376,3298.87,14460.48,40.6356
2023-03-04,Fish Carrier,Heavy Fuel Oil (HFO),8.7331,1424.8618,1141.3567,58.8598,3084.3855,10.7509,Calm,0.6027,Short-haul,Fair,2,0.6911,5927.62,13574.6,180.0279
2023-03-05,Tanker,Diesel,13.2735,1762.4901,5625.1332,82.6978,2173.9014,8.5222,Moderate,0.4234,Coastal,Good,3,0.8739,6581.15,30172.01,143.759
2023-03-06,Tanker,Diesel,12.1411,1755.0524,4414.2101,81.4061,3153.8998,8.3262,Calm,0.5972,Long-haul,Good,2,0.9311,7257.64,26120.97,180.9299
2023-03-07,Tanker,Heavy Fuel Oil (HFO),16.5483,1680.0214,7294.8298,88.1404,3231.1281,5.3581,Moderate,0.6783,Long-haul,Needs Maintenance,5,0.4795,7427.3,36429.27,131.3567
2023-03-08,Tanker,Diesel,8.7305,1109.2404,2776.1332,51.8573,934.8504,5.1222,Moderate,0.4493,Long-haul,Fair,5,0.7367,4050.93,17762.86,160.7871
2023-03-09,Bulk Carrier,Heavy Fuel Oil (HFO),21.9234,887.3166,1748.1772,88.5259,1085.2788,6.0082,Calm,0.8298,Short-haul,Good,6,0.35,3294.81,15394.18,55.7779
2023-03-10,Bulk Carrier,Diesel,18.1813,1208.3202,1695.0143,68.0904,2922.9175,7.1998,Calm,0.1109,Long-haul,Good,4,0.54,5318.53,15187.66,80.0845
2023-03-11,Fish Carrier,Diesel,9.1986,2146.7744,1371.8844,75.4784,1793.2705,7.2909,Moderate,0.6357,Long-haul,Fair,3,0.7519,6049.24,15539.7,258.9866
2023-03-12,Bulk Carrier,Steam Turbine,12.9322,810.9492,4126.0539,71.3192,1210.3784,4.944,Moderate,0.716,Short-haul,Good,4,0.8182,3914.14,22793.53,83.0797
2023-03-13,Tanker,Steam Turbine,10.6754,849.6458,1832.6783,65.2411,3190.5622,9.2032,Moderate,0.8946,Coastal,Fair,4,0.6825,4829.72,14458.91,92.0858
2023-03-14,Fish Carrier,Diesel,21.9314,478.9586,964.3222,69.5254,2709.4562,5.1665,Moderate,0.4439,Coastal,Good,4,0.35,3808.67,11041.66,32.4597
2023-03-15,Bulk Carrier,Diesel,19.2153,1526.7623,3615.7956,46.9139,888.2534,9.4496,Moderate,0.3663,Transoceanic,Good,4,0.4372,4773.78,21814.91,100.7105
2023-03-16,Fish Carrier,Heavy Fuel Oil (HFO),15.4124,935.8715,631.9419,72.4474,1783.5647,7.9317,Calm,0.2618,Coastal,Good,3,0.7617,3755.37,11132.53,77.3527
2023-03-17,Container Ship,Diesel,19.3472,2131.8786,3988.6613,60.9699,1539.8787,5.1025,Moderate,0.7096,Transoceanic,Needs Maintenance,6,0.35,6165.76,24423.25,136.5161
2023-03-18,Container Ship,Diesel,15.7563,874.7134,3523.5806,62.011,3498.8661,9.0321,Calm,0.5257,Transoceanic,Good,7,0.7758,5548.01,20877.54,63.5846
2023-03-19,Fish Carrier,Diesel,9.8065,1156.014,993.7678,53.9082,3317.2659,5.5783,Rough,0.9475,Long-haul,Fair,5,0.6072,5396.2,12371.76,151.9519
2023-03-20,Fish Carrier,Diesel,10.3609,2077.3747,2127.7625,91.3392,2278.1305,9.7767,Moderate,0.0284,Coastal,Good,1,0.9158,6372.35,18509.09,224.404
2023-03-21,Bulk Carrier,Heavy Fuel Oil (HFO),12.2293,614.2436,3654.2094,53.6944,1863.7409,7.2511,Rough,0.3402,Short-haul,Fair,2,0.7025,3884.95,19681.87,62.1887
2023-03-22,Tanker,Diesel,14.5306,661.6905,3545.6732,78.8458,1395.1568,10.0572,Moderate,0.1597,Coastal,Good,3,0.9131,3573.47,21196.84,52.4995
2023-03-23,Fish Carrier,Heavy Fuel Oil (HFO),21.5336,551.8033,1447.7937,80.9843,2017.6432,7.7568,Calm,0.8472,Transoceanic,Good,4,0.35,3408.48,13622.65,31.1797
2023-03-24,Bulk Carrier,Heavy Fuel Oil (HFO),12.0404,911.3325,3609.8055,78.6074,1060.2575,4.6768,Calm,0.3732,Long-haul,Good,3,0.8897,3802.85,21455.96,87.2726
2023-03-25,Bulk Carrier,Diesel,10.0852,1975.5766,2104.1813,78.9075,3059.2854,8.1561,Moderate,0.5073,Transoceanic,Good,5,0.806,6848.84,18707.43,232.7921
2023-03-26,Fish Carrier,Heavy Fuel Oil (HFO),19.1546,1623.1808,1531.3731,88.0597,2873.2537,8.0434,Moderate,0.7214,Transoceanic,Good,5,0.35,6050.36,15457.08,107.8487
2023-03-27,Container Ship,Diesel,14.1745,979.4386,2205.3288,70.9383,3075.4556,9.0918,Moderate,0.7058,Coastal,Good,5,0.9177,5015.54,16152.48,79.3691
2023-03-28,Fish Carrier,Diesel,17.4622,1922.0742,1205.5031,97.6536,1481.2179,6.0895,Moderate,0.9415,Short-haul,Good,3,0.6083,5117.34,15215.29,135.7034
2023-03-29,Fish Carrier,Heavy Fuel Oil (HFO),13.5235,824.7828,345.8998,49.3466,3287.227,8.5918,Calm,0.7473,Transoceanic,Fair,2,0.7037,4842.95,8733.22,71.7348
2023-03-30,Container Ship,Diesel,17.3777,1215.1871,1004.7552,50.53,2858.145,4.0363,Moderate,0.5504,Long-haul,Good,2,0.5477,5368.73,12213.99,90.5741
2023-03-31,Fish Carrier,Heavy Fuel Oil (HFO),11.2511,1651.2417,2560.4118,91.0683,3314.9833,4.2544,Moderate,0.8362,Coastal,Fair,7,0.766,6949.62,19459.69,176.2615
2023-04-01,Bulk Carrier,Diesel,12.6906,1054.1331,4201.0824,72.7317,1463.9438,9.6617,Calm,0.3307,Coastal,Needs Maintenance,6,0.9018,4498.16,23745.29,96.7304
2023-04-02,Container Ship,Diesel,15.2139,282.1493,1740.149,58.6426,1430.1988,5.6486,Moderate,0.7538,Transoceanic,Fair,3,0.7433,2973.26,13182.25,26.93
2023-04-03,Container Ship,Diesel,13.6758,1155.293,6492.3581,95.3872,1526.1053,8.3024,Moderate,0.2191,Transoceanic,Good,2,0.92,5112.44,32444.26,109.6494
2023-04-04,Container Ship,Diesel,15.3944,859.7482,1363.8762,56.1186,2202.6484,5.1518,Moderate,0.8545,Coastal,Good,4,0.7581,4087.9,12719.9,63.1712
2023-04-05,Tanker,Diesel,8.8083,1070.9944,6285.3799,86.0192,2319.2715,4.317,Moderate,0.3445,Transoceanic,Good,1,0.7312,5465.42,31194.28,157.3307
2023-04-06,Container Ship,Diesel,20.4787,1041.928,4090.3433,93.1005,1072.3715,10.022,Moderate,0.1186,Transoceanic,Good,5,0.35,4434.49,23874.31,60.1864
2023-04-07,Bulk Carrier,Heavy Fuel Oil (HFO),19.527,619.7753,2020.7042,51.2065,2966.5389,6.9347,Moderate,0.7661,Transoceanic,Good,1,0.35,4394.69,14193.92,41.7752
2023-04-08,Container Ship,Steam Turbine,11.0418,1913.8335,4541.9457,85.2335,1592.9303,8.1854,Calm,0.6725,Transoceanic,Good,3,0.8381,6211.65,26792.2,197.463
2023-04-09,Tanker,Heavy Fuel Oil (HFO),13.9808,1140.8037,4444.4916,62.5304,1865.709,5.0445,Calm,0.3765,Long-haul,Fair,7,0.7583,4916.24,24503.85,96.5005
2023-04-10,Bulk Carrier,Steam Turbine,9.8773,610.0029,1532.9614,50.0855,2728.8372,5.3334,Calm,0.2685,Transoceanic,Good,6,0.7414,4323.71,12955.75,74.5556
2023-04-11,Container Ship,Heavy Fuel Oil (HFO),20.7259,544.7963,6753.4254,95.2943,2647.7536,8.9264,Calm,0.3966,Short-haul,Good,2,0.35,4767.63,32304.84,34.8031
2023-04-12,Tanker,Heavy Fuel Oil (HFO),12.4833,526.5677,3128.9875,45.8921,2249.2724,8.0882,Calm,0.72,Transoceanic,Fair,3,0.784,3708.36,18394.7,49.556
2023-04-13,Tanker,Steam Turbine,19.5023,2129.6674,3892.5552,54.3096,2716.8779,7.4182,Moderate,0.9169,Short-haul,Good,5,0.35,7221.5,24352.65,133.1384
2023-04-14,Bulk Carrier,Diesel,10.1144,559.3113,4405.213,95.2013,2545.9962,4.1101,Calm,0.5322,Long-haul,Good,4,0.9325,4325.91,25073.4,63.3709
2023-04-15,Bulk Carrier,Steam Turbine,20.7368,324.7345,2153.5192,89.8368,1448.5093,6.7783,Moderate,0.3731,Transoceanic,Fair,4,0.35,2938.03,15824.07,22.4264
2023-04-16,Bulk Carrier,Diesel,8.7856,119.8454,2179.055,76.1221,3102.2889,4.6675,Calm,0.5282,Transoceanic,Good,1,0.7784,3453.22,14643.88,22.3576
2023-04-17,Fish Carrier,Diesel,15.8891,169.0937,2511.3464,86.374,2695.5919,6.7881,Rough,0.0769,Short-haul,Fair,2,0.5718,3363.84,16331.47,19.0444
2023-04-18,Container Ship,Steam Turbine,14.1192,1861.2168,6382.6303,87.5455,782.9518,5.9133,Moderate,0.9926,Short-haul,Good,4,0.8203,5535.61,33389.11,149.7454
2023-04-19,Tanker,Diesel,17.9835,272.2798,4249.2198,62.4173,998.3426,4.0364,Moderate,0.3083,Short-haul,Fair,3,0.5183,2866.43,21710.2,20.7478
2023-04-20,Bulk Carrier,Diesel,18.9821,1913.8082,1421.9176,75.7745,3479.6446,5.6992,Calm,0.5211,Coastal,Good,6,0.4194,6992.77,15905.51,116.3728
2023-04-21,Bulk Carrier,Diesel,18.9573,858.3623,5371.8852,70.1824,1079.3707,4.0474,Calm,0.3957,Transoceanic,Good,7,0.4384,3915.64,27540.71,54.5352
2023-04-22,Container Ship,Heavy Fuel Oil (HFO),10.4869,936.3031,6194.1065,88.0086,1612.4815,5.9621,Calm,0.7859,Long-haul,Good,3,0.8832,4581.44,30738.68,101.1638
2023-04-23,Bulk Carrier,Steam Turbine,12.0786,1554.9541,5490.6168,79.8335,1377.6593,8.6106,Moderate,0.7152,Long-haul,Good,7,0.7746,5558.65,28645.84,156.0613
2023-04-24,Tanker,Steam Turbine,19.3722,1347.0219,3422.4689,54.1486,2415.4981,7.9425,Calm,0.645,Short-haul,Fair,6,0.35,5673.94,20730.44,85.0841
2023-04-25,Bulk Carrier,Diesel,13.4759,1721.9187,2765.51,50.7502,1864.7312,10.7321,Calm,0.1161,Long-haul,Good,6,0.9672,5716.52,18715.81,149.0442
2023-04-26,Tanker,Steam Turbine,8.6256,1592.6359,6922.8061,96.1457,2773.3706,7.612,Moderate,0.5519,Short-haul,Good,3,0.6627,6881.08,35265.41,222.2985
2023-04-27,Container Ship,Diesel,18.3234,1954.5045,2881.9791,60.309,2670.5273,9.5721,Moderate,0.5773,Transoceanic,Good,7,0.5162,6637.26,20169.5,123.6999
2023-04-28,Fish Carrier,Steam Turbine,12.8709,1875.5874,1807.8883,78.7966,937.3055,4.9376,Calm,0.1179,Transoceanic,Good,3,0.8544,5024.3,17192.41,160.657
2023-04-29,Container Ship,Steam Turbine,15.5233,2030.2381,1593.4354,55.2904,3057.5586,8.3359,Calm,0.8655,Long-haul,Good,1,0.6897,6951.49,15490.56,152.7382
2023-04-30,Tanker,Heavy Fuel Oil (HFO),9.1574,164.8075,2980.8245,54.2515,1980.4999,9.1976,Moderate,0.7659,Transoceanic,Good,5,0.6641,3084.46,17501.46,26.172
2023-05-01,Fish Carrier,Steam Turbine,14.1791,558.9381,2019.4794,93.1145,790.2451,5.8397,Moderate,0.8622,Coastal,Fair,1,0.615,3026.02,15981.97,50.9275
2023-05-02,Fish Carrier,Steam Turbine,9.9493,533.9013,1076.1654,74.6323,1606.2301,8.9284,Moderate,0.2893,Transoceanic,Good,3,0.6666,3376.39,11516.13,71.6534
2023-05-03,Container Ship,Heavy Fuel Oil (HFO),9.7764,1918.7655,5641.9853,82.1929,2070.4844,8.042,Rough,0.2687,Short-haul,Fair,4,0.7441,6678.5,30168.27,243.8811
2023-05-04,Fish Carrier,Heavy Fuel Oil (HFO),20.1647,1879.0514,1948.543,91.7558,2927.8982,6.784,Rough,0.9681,Short-haul,Good,7,0.35,6681.36,17673.62,105.4039
2023-05-05,Container Ship,Steam Turbine,18.6716,196.4801,4183.2373,53.6891,1978.2508,10.9429,Rough,0.4278,Short-haul,Fair,6,0.35,3207.21,21468.96,18.931
2023-05-06,Fish Carrier,Heavy Fuel Oil (HFO),16.7585,1624.5756,464.6164,56.7382,918.2284,8.1558,Calm,0.5194,Long-haul,Good,4,0.6305,4469.68,10220.93,108.1413
2023-05-07,Tanker,Steam Turbine,9.2506,1792.5094,4027.0364,89.7352,3148.5924,8.491,Calm,0.6771,Coastal,Good,1,0.7348,7008.96,24889.16,233.2917
2023-05-08,Container Ship,Heavy Fuel Oil (HFO),9.2136,310.9767,3714.7166,62.2977,1091.5245,5.9388,Moderate,0.0842,Transoceanic,Fair,5,0.7181,2877.53,20938.91,45.8234
2023-05-09,Bulk Carrier,Steam Turbine,15.1333,1670.4716,2623.2482,72.2188,1015.6823,7.4971,Rough,0.5939,Long-haul,Good,5,0.6125,4808.93,18781.46,127.7736
2023-05-10,Tanker,Heavy Fuel Oil (HFO),21.3623,1717.7708,1091.6189,48.3258,2910.012,7.5463,Moderate,0.6286,Long-haul,Fair,5,0.35,5976.31,13351.31,101.31
2023-05-11,Container Ship,Heavy Fuel Oil (HFO),10.8448,1796.9262,3703.5322,82.4581,885.1222,8.8907,Calm,0.73,Coastal,Good,7,0.9895,5219.76,23506.03,207.3172
2023-05-12,Container Ship,Diesel,10.2937,2101.334,3843.543,51.9812,2887.1471,5.8814,Calm,0.8864,Long-haul,Fair,7,0.873,7166.66,23711.15,255.0965
2023-05-13,Fish Carrier,Steam Turbine,15.1509,216.4221,920.6975,94.1848,2587.5372,4.8073,Rough,0.7408,Coastal,Good,1,0.6007,3257.55,11281.58,20.5279
2023-05-14,Bulk Carrier,Steam Turbine,11.4757,2023.295,3103.7956,82.0329,847.482,5.5623,Moderate,0.5158,Transoceanic,Good,1,0.7773,5195.37,21929.53,221.1837
2023-05-15,Fish Carrier,Heavy Fuel Oil (HFO),10.8094,1283.9942,1235.9757,72.1348,2863.3171,5.368,Calm,0.9004,Transoceanic,Good,7,0.7675,5264.22,13249.8,149.0187
2023-05-16,Bulk Carrier,Heavy Fuel Oil (HFO),18.181,318.2929,5076.3459,99.8328,2692.6269,4.6512,Calm,0.9213,Transoceanic,Fair,7,0.414,3886.01,26918.08,26.4072
2023-05-17,Bulk Carrier,Steam Turbine,13.5209,1342.9811,2006.8947,91.8003,3292.9175,6.7507,Calm,0.8319,Long-haul,Fair,3,0.7188,6024.62,17228.88,108.9924
2023-05-18,Container Ship,Diesel,9.6903,852.4036,2470.7656,49.9731,2961.2713,6.1295,Calm,0.7047,Transoceanic,Good,5,0.8418,4814.63,16546.91,100.0878
2023-05-19,Container Ship,Heavy Fuel Oil (HFO),11.6423,2180.4209,2697.723,58.7419,1993.7211,9.6273,Calm,0.1398,Coastal,Fair,1,0.9721,6585.57,19552.21,208.163
2023-05-20,Bulk Carrier,Steam Turbine,8.9026,1995.2418,2876.7446,63.2352,819.5497,7.227,Moderate,0.168,Coastal,Good,5,0.7345,5059.88,20380.45,261.087
2023-05-21,Tanker,Diesel,14.2442,412.126,4904.7831,93.5528,2041.2866,4.6141,Calm,0.383,Long-haul,Good,4,0.913,4204.9,25854.82,39.2068
